agent1_type,agent2_type,board_size,iterations,seed,agent1_starts,result,agent1_wins,agent2_wins,draws,time,simulations
UCT,RAVE,5,200,42,True,-1,0,1,0,0.8849935531616211,4800
UCT,RAVE,5,200,43,False,1,1,0,0,1.4080379009246826,4800
UCT,RAVE,5,200,44,True,-1,0,1,0,1.147965669631958,4800
UCT,RAVE,5,200,45,False,1,1,0,0,1.3129932880401611,4800
UCT,RAVE,5,200,46,True,1,1,0,0,0.95701003074646,4800
UCT,RAVE,5,200,47,False,-1,0,1,0,1.0789844989776611,4800
UCT,RAVE,5,200,48,True,-1,0,1,0,1.1000003814697266,4800
UCT,RAVE,5,200,49,False,-1,0,1,0,1.0100011825561523,4800
UCT,RAVE,5,200,50,True,1,1,0,0,1.2860007286071777,4800
UCT,RAVE,5,200,51,False,1,1,0,0,1.9820032119750977,4800
UCT,RAVE,5,200,52,True,1,1,0,0,0.9550354480743408,4800
UCT,RAVE,5,200,53,False,1,1,0,0,1.7489585876464844,4800
UCT,RAVE,5,200,54,True,1,1,0,0,1.5780079364776611,4800
UCT,RAVE,5,200,55,False,1,1,0,0,0.837993860244751,4800
UCT,RAVE,5,200,56,True,-1,0,1,0,1.1060082912445068,4800
UCT,RAVE,5,200,57,False,-1,0,1,0,0.9619920253753662,4800
UCT,RAVE,5,200,58,True,1,1,0,0,1.3330020904541016,4800
UCT,RAVE,5,200,59,False,1,1,0,0,1.4640374183654785,4800
UCT,RAVE,5,200,60,True,1,1,0,0,1.0750048160552979,4800
UCT,RAVE,5,200,61,False,1,1,0,0,1.8519976139068604,4800
UCT,RAVE,5,200,62,True,1,1,0,0,1.3189613819122314,4800
UCT,RAVE,5,200,63,False,1,1,0,0,1.335038661956787,4800
UCT,RAVE,5,200,64,True,1,1,0,0,0.8819980621337891,4800
UCT,RAVE,5,200,65,False,1,1,0,0,1.121967077255249,4800
UCT,RAVE,5,200,66,True,1,1,0,0,2.830998659133911,4800
UCT,RAVE,5,200,67,False,-1,0,1,0,2.5010459423065186,4800
UCT,RAVE,5,200,68,True,1,1,0,0,1.659989833831787,4800
UCT,RAVE,5,200,69,False,1,1,0,0,1.392961025238037,4800
UCT,RAVE,5,200,70,True,1,1,0,0,1.749002456665039,4800
UCT,RAVE,5,200,71,False,1,1,0,0,1.075998067855835,4800
UCT,RAVE,5,200,72,True,1,1,0,0,1.7759995460510254,4800
UCT,RAVE,5,200,73,False,1,1,0,0,1.5060033798217773,4800
UCT,RAVE,5,200,74,True,1,1,0,0,0.8790359497070312,4800
UCT,RAVE,5,200,75,False,1,1,0,0,1.0689983367919922,4800
UCT,RAVE,5,200,76,True,1,1,0,0,1.3769633769989014,4800
UCT,RAVE,5,200,77,False,1,1,0,0,1.434009313583374,4800
UCT,RAVE,5,200,78,True,-1,0,1,0,1.1260135173797607,4800
UCT,RAVE,5,200,79,False,-1,0,1,0,0.905975341796875,4800
UCT,RAVE,5,200,80,True,-1,0,1,0,0.8990375995635986,4800
UCT,RAVE,5,200,81,False,1,1,0,0,1.3549652099609375,4800
UCT,RAVE,5,200,82,True,1,1,0,0,1.3410017490386963,4800
UCT,RAVE,5,200,83,False,-1,0,1,0,1.681997299194336,4800
UCT,RAVE,5,200,84,True,-1,0,1,0,1.1180026531219482,4800
UCT,RAVE,5,200,85,False,-1,0,1,0,0.9045770168304443,4800
UCT,RAVE,5,200,86,True,1,1,0,0,0.798966646194458,4800
UCT,RAVE,5,200,87,False,1,1,0,0,1.0629966259002686,4800
UCT,RAVE,5,200,88,True,-1,0,1,0,1.4000022411346436,4800
UCT,RAVE,5,200,89,False,1,1,0,0,1.868004560470581,4800
UCT,RAVE,5,200,90,True,-1,0,1,0,1.1330311298370361,4800
UCT,RAVE,5,200,91,False,1,1,0,0,1.5699617862701416,4800
