agent1_type,agent2_type,board_size,iterations,seed,agent1_starts,result,agent1_wins,agent2_wins,draws,time,simulations
UCT,GRAVE,5,200,42,True,-1,0,1,0,0.872002124786377,4800
UCT,GRAVE,5,200,43,False,1,1,0,0,1.1019971370697021,4800
UCT,GRAVE,5,200,44,True,1,1,0,0,0.5349941253662109,4800
UCT,GRAVE,5,200,45,False,1,1,0,0,0.8219625949859619,4800
UCT,GRAVE,5,200,46,True,1,1,0,0,1.09804105758667,4800
UCT,GRAVE,5,200,47,False,1,1,0,0,0.7599618434906006,4800
UCT,GRAVE,5,200,48,True,1,1,0,0,1.1820049285888672,4800
UCT,GRAVE,5,200,49,False,1,1,0,0,0.9420406818389893,4800
UCT,GRAVE,5,200,50,True,1,1,0,0,0.6809895038604736,4800
UCT,GRAVE,5,200,51,False,1,1,0,0,0.7079677581787109,4800
UCT,GRAVE,5,200,52,True,1,1,0,0,0.7760298252105713,4800
UCT,GRAVE,5,200,53,False,-1,0,1,0,0.582965612411499,4800
UCT,GRAVE,5,200,54,True,1,1,0,0,0.9499952793121338,4800
UCT,GRAVE,5,200,55,False,1,1,0,0,0.6560065746307373,4800
UCT,GRAVE,5,200,56,True,1,1,0,0,0.9309954643249512,4800
UCT,GRAVE,5,200,57,False,1,1,0,0,0.8729953765869141,4800
UCT,GRAVE,5,200,58,True,1,1,0,0,0.7990021705627441,4800
UCT,GRAVE,5,200,59,False,1,1,0,0,0.8390381336212158,4800
UCT,GRAVE,5,200,60,True,1,1,0,0,1.0099990367889404,4800
UCT,GRAVE,5,200,61,False,1,1,0,0,0.6319997310638428,4800
UCT,GRAVE,5,200,62,True,1,1,0,0,0.8960022926330566,4800
UCT,GRAVE,5,200,63,False,-1,0,1,0,1.159961223602295,4800
UCT,GRAVE,5,200,64,True,1,1,0,0,1.0120060443878174,4800
UCT,GRAVE,5,200,65,False,-1,0,1,0,1.108039379119873,4800
UCT,GRAVE,5,200,66,True,1,1,0,0,0.5689961910247803,4800
UCT,GRAVE,5,200,67,False,1,1,0,0,0.6769616603851318,4800
UCT,GRAVE,5,200,68,True,1,1,0,0,0.8380014896392822,4800
UCT,GRAVE,5,200,69,False,1,1,0,0,0.842034101486206,4800
UCT,GRAVE,5,200,70,True,1,1,0,0,0.7450013160705566,4800
UCT,GRAVE,5,200,71,False,1,1,0,0,0.743018627166748,4800
UCT,GRAVE,5,200,72,True,1,1,0,0,1.0729408264160156,4800
UCT,GRAVE,5,200,73,False,1,1,0,0,0.8060071468353271,4800
UCT,GRAVE,5,200,74,True,1,1,0,0,0.7930343151092529,4800
UCT,GRAVE,5,200,75,False,1,1,0,0,0.7799582481384277,4800
UCT,GRAVE,5,200,76,True,-1,0,1,0,1.147003173828125,4800
UCT,GRAVE,5,200,77,False,-1,0,1,0,0.9720065593719482,4800
UCT,GRAVE,5,200,78,True,1,1,0,0,0.951993465423584,4800
UCT,GRAVE,5,200,79,False,-1,0,1,0,1.0790388584136963,4800
UCT,GRAVE,5,200,80,True,-1,0,1,0,1.0199997425079346,4800
UCT,GRAVE,5,200,81,False,-1,0,1,0,0.6769993305206299,4800
UCT,GRAVE,5,200,82,True,1,1,0,0,0.7439615726470947,4800
UCT,GRAVE,5,200,83,False,1,1,0,0,1.121039867401123,4800
UCT,GRAVE,5,200,84,True,1,1,0,0,0.6600022315979004,4800
UCT,GRAVE,5,200,85,False,1,1,0,0,1.09995436668396,4800
UCT,GRAVE,5,200,86,True,1,1,0,0,0.939007043838501,4800
UCT,GRAVE,5,200,87,False,1,1,0,0,1.6379945278167725,4800
UCT,GRAVE,5,200,88,True,-1,0,1,0,1.2379989624023438,4800
UCT,GRAVE,5,200,89,False,1,1,0,0,1.0510456562042236,4800
UCT,GRAVE,5,200,90,True,-1,0,1,0,1.3809573650360107,4800
UCT,GRAVE,5,200,91,False,1,1,0,0,1.1629996299743652,4800
