agent1_type,agent2_type,board_size,iterations,seed,agent1_starts,result,agent1_wins,agent2_wins,draws,time,simulations
RAVE,GRAVE,5,200,42,True,1,1,0,0,0.8090343475341797,4800
RAVE,GRAVE,5,200,43,False,1,1,0,0,0.9459640979766846,4800
RAVE,GRAVE,5,200,44,True,-1,0,1,0,1.0199995040893555,4800
RAVE,GRAVE,5,200,45,False,-1,0,1,0,1.4559986591339111,4800
RAVE,GRAVE,5,200,46,True,1,1,0,0,0.6990387439727783,4800
RAVE,GRAVE,5,200,47,False,1,1,0,0,0.8299603462219238,4800
RAVE,GRAVE,5,200,48,True,1,1,0,0,1.395003318786621,4800
RAVE,GRAVE,5,200,49,False,1,1,0,0,0.9539961814880371,4800
RAVE,GRAVE,5,200,50,True,-1,0,1,0,1.2110018730163574,4800
RAVE,GRAVE,5,200,51,False,1,1,0,0,0.9960005283355713,4800
RAVE,GRAVE,5,200,52,True,1,1,0,0,0.9719984531402588,4800
RAVE,GRAVE,5,200,53,False,1,1,0,0,1.0780036449432373,4800
RAVE,GRAVE,5,200,54,True,-1,0,1,0,1.1010055541992188,4800
RAVE,GRAVE,5,200,55,False,-1,0,1,0,1.2389957904815674,4800
RAVE,GRAVE,5,200,56,True,1,1,0,0,0.7130026817321777,4800
RAVE,GRAVE,5,200,57,False,1,1,0,0,0.6790342330932617,4800
RAVE,GRAVE,5,200,58,True,1,1,0,0,0.980004072189331,4800
RAVE,GRAVE,5,200,59,False,1,1,0,0,0.9129598140716553,4800
RAVE,GRAVE,5,200,60,True,-1,0,1,0,0.8090367317199707,4800
RAVE,GRAVE,5,200,61,False,-1,0,1,0,0.8909997940063477,4800
RAVE,GRAVE,5,200,62,True,1,1,0,0,1.000999927520752,4800
RAVE,GRAVE,5,200,63,False,-1,0,1,0,1.0979602336883545,4800
RAVE,GRAVE,5,200,64,True,1,1,0,0,0.9870045185089111,4800
RAVE,GRAVE,5,200,65,False,1,1,0,0,0.8459949493408203,4800
RAVE,GRAVE,5,200,66,True,-1,0,1,0,1.073004961013794,4800
RAVE,GRAVE,5,200,67,False,-1,0,1,0,0.9480490684509277,4800
RAVE,GRAVE,5,200,68,True,-1,0,1,0,1.337949514389038,4800
RAVE,GRAVE,5,200,69,False,1,1,0,0,0.6080043315887451,4800
RAVE,GRAVE,5,200,70,True,-1,0,1,0,0.7449951171875,4800
RAVE,GRAVE,5,200,71,False,1,1,0,0,1.099003791809082,4800
RAVE,GRAVE,5,200,72,True,-1,0,1,0,1.0450026988983154,4800
RAVE,GRAVE,5,200,73,False,1,1,0,0,1.5350308418273926,4800
RAVE,GRAVE,5,200,74,True,1,1,0,0,1.0539631843566895,4800
RAVE,GRAVE,5,200,75,False,1,1,0,0,0.7329967021942139,4800
RAVE,GRAVE,5,200,76,True,-1,0,1,0,0.8290016651153564,4800
RAVE,GRAVE,5,200,77,False,1,1,0,0,0.7510371208190918,4800
RAVE,GRAVE,5,200,78,True,1,1,0,0,0.7160022258758545,4800
RAVE,GRAVE,5,200,79,False,1,1,0,0,0.8929617404937744,4800
RAVE,GRAVE,5,200,80,True,1,1,0,0,0.8360004425048828,4800
RAVE,GRAVE,5,200,81,False,1,1,0,0,1.0320007801055908,4800
RAVE,GRAVE,5,200,82,True,1,1,0,0,0.9590373039245605,4800
RAVE,GRAVE,5,200,83,False,-1,0,1,0,0.713961124420166,4800
RAVE,GRAVE,5,200,84,True,1,1,0,0,0.965003252029419,4800
RAVE,GRAVE,5,200,85,False,1,1,0,0,1.042001724243164,4800
RAVE,GRAVE,5,200,86,True,1,1,0,0,1.0759921073913574,4800
RAVE,GRAVE,5,200,87,False,1,1,0,0,0.7300031185150146,4800
RAVE,GRAVE,5,200,88,True,-1,0,1,0,0.915036678314209,4800
RAVE,GRAVE,5,200,89,False,1,1,0,0,0.7769622802734375,4800
RAVE,GRAVE,5,200,90,True,-1,0,1,0,1.1869986057281494,4800
RAVE,GRAVE,5,200,91,False,1,1,0,0,1.0950474739074707,4800
