agent1_type,agent2_type,board_size,iterations,seed,agent1_starts,result,agent1_wins,agent2_wins,draws,time,simulations
UCT,GRAVE,5,500,42,True,1,1,0,0,2.557994842529297,12000
UCT,GRAVE,5,500,43,False,1,1,0,0,2.652040958404541,12000
UCT,GRAVE,5,500,44,True,1,1,0,0,2.364957094192505,12000
UCT,GRAVE,5,500,45,False,1,1,0,0,2.0370254516601562,12000
UCT,GRAVE,5,500,46,True,1,1,0,0,2.467977285385132,12000
UCT,GRAVE,5,500,47,False,1,1,0,0,2.1065194606781006,12000
UCT,GRAVE,5,500,48,True,1,1,0,0,2.1860392093658447,12000
UCT,GRAVE,5,500,49,False,1,1,0,0,1.8979628086090088,12000
UCT,GRAVE,5,500,50,True,1,1,0,0,1.6550085544586182,12000
UCT,GRAVE,5,500,51,False,1,1,0,0,2.495004653930664,12000
UCT,GRAVE,5,500,52,True,1,1,0,0,2.0800352096557617,12000
UCT,GRAVE,5,500,53,False,1,1,0,0,2.1319632530212402,12000
UCT,GRAVE,5,500,54,True,1,1,0,0,1.9610044956207275,12000
UCT,GRAVE,5,500,55,False,1,1,0,0,2.5099985599517822,12000
UCT,GRAVE,5,500,56,True,1,1,0,0,2.2360048294067383,12000
UCT,GRAVE,5,500,57,False,1,1,0,0,2.540987491607666,12000
UCT,GRAVE,5,500,58,True,1,1,0,0,2.438006639480591,12000
UCT,GRAVE,5,500,59,False,1,1,0,0,2.0310001373291016,12000
UCT,GRAVE,5,500,60,True,1,1,0,0,2.0360381603240967,12000
UCT,GRAVE,5,500,61,False,1,1,0,0,2.1679956912994385,12000
UCT,GRAVE,5,500,62,True,1,1,0,0,2.1779627799987793,12000
UCT,GRAVE,5,500,63,False,1,1,0,0,2.9850025177001953,12000
UCT,GRAVE,5,500,64,True,1,1,0,0,2.0239994525909424,12000
UCT,GRAVE,5,500,65,False,1,1,0,0,1.9910380840301514,12000
UCT,GRAVE,5,500,66,True,1,1,0,0,1.398960828781128,12000
UCT,GRAVE,5,500,67,False,1,1,0,0,1.6669960021972656,12000
UCT,GRAVE,5,500,68,True,1,1,0,0,2.2040345668792725,12000
UCT,GRAVE,5,500,69,False,-1,0,1,0,2.894967555999756,12000
UCT,GRAVE,5,500,70,True,-1,0,1,0,1.797994613647461,12000
UCT,GRAVE,5,500,71,False,1,1,0,0,3.615001916885376,12000
UCT,GRAVE,5,500,72,True,1,1,0,0,2.8530356884002686,12000
UCT,GRAVE,5,500,73,False,1,1,0,0,2.3379690647125244,12000
UCT,GRAVE,5,500,74,True,1,1,0,0,2.133017063140869,12000
UCT,GRAVE,5,500,75,False,1,1,0,0,1.7699449062347412,12000
UCT,GRAVE,5,500,76,True,1,1,0,0,1.9010405540466309,12000
UCT,GRAVE,5,500,77,False,1,1,0,0,2.7889976501464844,12000
UCT,GRAVE,5,500,78,True,1,1,0,0,2.4989609718322754,12000
UCT,GRAVE,5,500,79,False,-1,0,1,0,2.7110016345977783,12000
UCT,GRAVE,5,500,80,True,1,1,0,0,2.8460376262664795,12000
UCT,GRAVE,5,500,81,False,1,1,0,0,1.7139601707458496,12000
UCT,GRAVE,5,500,82,True,1,1,0,0,1.478006362915039,12000
UCT,GRAVE,5,500,83,False,1,1,0,0,2.242494821548462,12000
UCT,GRAVE,5,500,84,True,1,1,0,0,2.066441297531128,12000
UCT,GRAVE,5,500,85,False,1,1,0,0,2.217036485671997,12000
UCT,GRAVE,5,500,86,True,-1,0,1,0,1.5539686679840088,12000
UCT,GRAVE,5,500,87,False,1,1,0,0,2.453036308288574,12000
UCT,GRAVE,5,500,88,True,1,1,0,0,2.0640347003936768,12000
UCT,GRAVE,5,500,89,False,1,1,0,0,2.3589634895324707,12000
UCT,GRAVE,5,500,90,True,-1,0,1,0,2.998960494995117,12000
UCT,GRAVE,5,500,91,False,1,1,0,0,1.9390215873718262,12000
