agent1_type,agent2_type,board_size,iterations,seed,agent1_starts,result,agent1_wins,agent2_wins,draws,time,simulations
UCT,RAVE,5,500,42,True,1,1,0,0,2.0560357570648193,12000
UCT,RAVE,5,500,43,False,1,1,0,0,3.18296480178833,12000
UCT,RAVE,5,500,44,True,1,1,0,0,2.831041097640991,12000
UCT,RAVE,5,500,45,False,1,1,0,0,2.276995897293091,12000
UCT,RAVE,5,500,46,True,1,1,0,0,1.7149615287780762,12000
UCT,RAVE,5,500,47,False,1,1,0,0,2.077037811279297,12000
UCT,RAVE,5,500,48,True,-1,0,1,0,2.7529690265655518,12000
UCT,RAVE,5,500,49,False,-1,0,1,0,2.48403263092041,12000
UCT,RAVE,5,500,50,True,1,1,0,0,1.9739811420440674,12000
UCT,RAVE,5,500,51,False,1,1,0,0,1.7610013484954834,12000
UCT,RAVE,5,500,52,True,1,1,0,0,2.128002643585205,12000
UCT,RAVE,5,500,53,False,1,1,0,0,2.1409945487976074,12000
UCT,RAVE,5,500,54,True,-1,0,1,0,2.1080033779144287,12000
UCT,RAVE,5,500,55,False,1,1,0,0,2.2669694423675537,12000
UCT,RAVE,5,500,56,True,1,1,0,0,2.0849931240081787,12000
UCT,RAVE,5,500,57,False,1,1,0,0,1.5400350093841553,12000
UCT,RAVE,5,500,58,True,1,1,0,0,1.7330002784729004,12000
UCT,RAVE,5,500,59,False,1,1,0,0,2.5189998149871826,12000
UCT,RAVE,5,500,60,True,1,1,0,0,2.814990997314453,12000
UCT,RAVE,5,500,61,False,1,1,0,0,2.1499719619750977,12000
UCT,RAVE,5,500,62,True,1,1,0,0,1.9410433769226074,12000
UCT,RAVE,5,500,63,False,1,1,0,0,1.9849600791931152,12000
UCT,RAVE,5,500,64,True,1,1,0,0,1.6170313358306885,12000
UCT,RAVE,5,500,65,False,1,1,0,0,2.3609726428985596,12000
UCT,RAVE,5,500,66,True,1,1,0,0,1.671034574508667,12000
UCT,RAVE,5,500,67,False,1,1,0,0,1.9349956512451172,12000
UCT,RAVE,5,500,68,True,1,1,0,0,1.8729596138000488,12000
UCT,RAVE,5,500,69,False,1,1,0,0,2.1890335083007812,12000
UCT,RAVE,5,500,70,True,1,1,0,0,1.7280004024505615,12000
UCT,RAVE,5,500,71,False,1,1,0,0,2.125007152557373,12000
UCT,RAVE,5,500,72,True,1,1,0,0,2.1529641151428223,12000
UCT,RAVE,5,500,73,False,1,1,0,0,1.8230342864990234,12000
UCT,RAVE,5,500,74,True,1,1,0,0,2.048997402191162,12000
UCT,RAVE,5,500,75,False,1,1,0,0,2.597998857498169,12000
UCT,RAVE,5,500,76,True,-1,0,1,0,2.7409591674804688,12000
UCT,RAVE,5,500,77,False,1,1,0,0,1.601008653640747,12000
UCT,RAVE,5,500,78,True,1,1,0,0,1.5919952392578125,12000
UCT,RAVE,5,500,79,False,1,1,0,0,2.082000970840454,12000
UCT,RAVE,5,500,80,True,1,1,0,0,2.036036968231201,12000
UCT,RAVE,5,500,81,False,-1,0,1,0,3.0839977264404297,12000
UCT,RAVE,5,500,82,True,-1,0,1,0,2.075961112976074,12000
UCT,RAVE,5,500,83,False,-1,0,1,0,1.9090425968170166,12000
UCT,RAVE,5,500,84,True,1,1,0,0,1.735962152481079,12000
UCT,RAVE,5,500,85,False,1,1,0,0,2.483034372329712,12000
UCT,RAVE,5,500,86,True,1,1,0,0,2.0479986667633057,12000
UCT,RAVE,5,500,87,False,-1,0,1,0,2.0959925651550293,12000
UCT,RAVE,5,500,88,True,-1,0,1,0,2.974013566970825,12000
UCT,RAVE,5,500,89,False,1,1,0,0,1.5639681816101074,12000
UCT,RAVE,5,500,90,True,1,1,0,0,2.203035593032837,12000
UCT,RAVE,5,500,91,False,1,1,0,0,1.7619984149932861,12000
