agent1_type,agent2_type,board_size,iterations,seed,result,agent1_wins,agent2_wins,draws,time
UCT,GRAVE,5,100,42,-1,0,1,0,0.34499430656433105
UCT,GRAVE,5,100,43,1,1,0,0,0.5469930171966553
UCT,GRAVE,5,100,44,1,1,0,0,0.41603565216064453
UCT,GRAVE,5,100,45,1,1,0,0,0.369004487991333
UCT,GRAVE,5,100,46,-1,0,1,0,0.42205381393432617
UCT,GRAVE,5,100,47,1,1,0,0,0.428943395614624
UCT,GRAVE,5,100,48,-1,0,1,0,0.3429591655731201
UCT,GRAVE,5,100,49,-1,0,1,0,0.5870053768157959
UCT,GRAVE,5,100,50,-1,0,1,0,0.5149965286254883
UCT,GRAVE,5,100,51,1,1,0,0,0.5460388660430908
UCT,GRAVE,5,100,52,1,1,0,0,0.5400009155273438
UCT,GRAVE,5,100,53,1,1,0,0,0.4259974956512451
UCT,GRAVE,5,100,54,-1,0,1,0,0.43900084495544434
UCT,GRAVE,5,100,55,1,1,0,0,0.34896206855773926
UCT,GRAVE,5,100,56,1,1,0,0,0.41100215911865234
UCT,GRAVE,5,100,57,1,1,0,0,0.5770008563995361
UCT,GRAVE,5,100,58,1,1,0,0,0.3999969959259033
UCT,GRAVE,5,100,59,1,1,0,0,0.3930356502532959
UCT,GRAVE,5,100,60,1,1,0,0,0.38800740242004395
UCT,GRAVE,5,100,61,1,1,0,0,0.42995738983154297
UCT,GRAVE,5,100,62,1,1,0,0,0.5010390281677246
UCT,GRAVE,5,100,63,-1,0,1,0,0.5309998989105225
UCT,GRAVE,5,100,64,-1,0,1,0,0.32796144485473633
UCT,GRAVE,5,100,65,-1,0,1,0,0.3800015449523926
UCT,GRAVE,5,100,66,1,1,0,0,0.40303659439086914
UCT,GRAVE,5,100,67,-1,0,1,0,0.3949611186981201
UCT,GRAVE,5,100,68,1,1,0,0,0.39703798294067383
UCT,GRAVE,5,100,69,1,1,0,0,0.4180009365081787
UCT,GRAVE,5,100,70,-1,0,1,0,0.40000271797180176
UCT,GRAVE,5,100,71,1,1,0,0,0.430957555770874
UCT,GRAVE,5,100,72,1,1,0,0,0.4309976100921631
UCT,GRAVE,5,100,73,-1,0,1,0,0.5989997386932373
UCT,GRAVE,5,100,74,1,1,0,0,0.6670000553131104
UCT,GRAVE,5,100,75,1,1,0,0,0.4470052719116211
UCT,GRAVE,5,100,76,-1,0,1,0,0.4609971046447754
UCT,GRAVE,5,100,77,1,1,0,0,0.40000057220458984
UCT,GRAVE,5,100,78,1,1,0,0,0.37699389457702637
UCT,GRAVE,5,100,79,-1,0,1,0,0.3209671974182129
UCT,GRAVE,5,100,80,-1,0,1,0,0.3099994659423828
UCT,GRAVE,5,100,81,1,1,0,0,0.5200021266937256
UCT,GRAVE,5,100,82,-1,0,1,0,0.3940391540527344
UCT,GRAVE,5,100,83,-1,0,1,0,0.30596041679382324
UCT,GRAVE,5,100,84,-1,0,1,0,0.4109988212585449
UCT,GRAVE,5,100,85,-1,0,1,0,0.31703829765319824
UCT,GRAVE,5,100,86,-1,0,1,0,0.46300363540649414
UCT,GRAVE,5,100,87,-1,0,1,0,0.44098448753356934
UCT,GRAVE,5,100,88,1,1,0,0,0.44997406005859375
UCT,GRAVE,5,100,89,1,1,0,0,0.3820383548736572
UCT,GRAVE,5,100,90,1,1,0,0,0.34302520751953125
UCT,GRAVE,5,100,91,1,1,0,0,0.42200756072998047
