agent1_type,agent2_type,board_size,iterations,seed,result,agent1_wins,agent2_wins,draws,time
UCT,RAVE,5,50,42,-1,0,1,0,0.16603660583496094
UCT,RAVE,5,50,43,-1,0,1,0,0.2470078468322754
UCT,RAVE,5,50,44,1,1,0,0,0.20196080207824707
UCT,RAVE,5,50,45,1,1,0,0,0.23104238510131836
UCT,RAVE,5,50,46,1,1,0,0,0.19696402549743652
UCT,RAVE,5,50,47,-1,0,1,0,0.22599148750305176
UCT,RAVE,5,50,48,1,1,0,0,0.19899630546569824
UCT,RAVE,5,50,49,-1,0,1,0,0.19904732704162598
UCT,RAVE,5,50,50,1,1,0,0,0.27795910835266113
UCT,RAVE,5,50,51,-1,0,1,0,0.3220326900482178
UCT,RAVE,5,50,52,-1,0,1,0,0.2359611988067627
UCT,RAVE,5,50,53,-1,0,1,0,0.17100286483764648
UCT,RAVE,5,50,54,-1,0,1,0,0.2770402431488037
UCT,RAVE,5,50,55,-1,0,1,0,0.18695759773254395
UCT,RAVE,5,50,56,-1,0,1,0,0.1880030632019043
UCT,RAVE,5,50,57,-1,0,1,0,0.2619967460632324
UCT,RAVE,5,50,58,-1,0,1,0,0.21503877639770508
UCT,RAVE,5,50,59,1,1,0,0,0.22396469116210938
UCT,RAVE,5,50,60,1,1,0,0,0.23204350471496582
UCT,RAVE,5,50,61,-1,0,1,0,0.22695231437683105
UCT,RAVE,5,50,62,1,1,0,0,0.1860051155090332
UCT,RAVE,5,50,63,-1,0,1,0,0.1770017147064209
UCT,RAVE,5,50,64,-1,0,1,0,0.16203832626342773
UCT,RAVE,5,50,65,-1,0,1,0,0.14000153541564941
UCT,RAVE,5,50,66,-1,0,1,0,0.268007755279541
UCT,RAVE,5,50,67,1,1,0,0,0.2809901237487793
UCT,RAVE,5,50,68,-1,0,1,0,0.38096022605895996
UCT,RAVE,5,50,69,1,1,0,0,0.26001429557800293
UCT,RAVE,5,50,70,-1,0,1,0,0.193023681640625
UCT,RAVE,5,50,71,-1,0,1,0,0.17896413803100586
UCT,RAVE,5,50,72,-1,0,1,0,0.20603656768798828
UCT,RAVE,5,50,73,1,1,0,0,0.22600007057189941
UCT,RAVE,5,50,74,-1,0,1,0,0.15696430206298828
UCT,RAVE,5,50,75,-1,0,1,0,0.2360384464263916
UCT,RAVE,5,50,76,1,1,0,0,0.22700262069702148
UCT,RAVE,5,50,77,1,1,0,0,0.25595712661743164
UCT,RAVE,5,50,78,-1,0,1,0,0.22101473808288574
UCT,RAVE,5,50,79,-1,0,1,0,0.19602346420288086
UCT,RAVE,5,50,80,-1,0,1,0,0.17599797248840332
UCT,RAVE,5,50,81,1,1,0,0,0.33196282386779785
UCT,RAVE,5,50,82,-1,0,1,0,0.17099833488464355
UCT,RAVE,5,50,83,-1,0,1,0,0.26900219917297363
UCT,RAVE,5,50,84,-1,0,1,0,0.2350008487701416
UCT,RAVE,5,50,85,-1,0,1,0,0.2550084590911865
UCT,RAVE,5,50,86,-1,0,1,0,0.2249922752380371
UCT,RAVE,5,50,87,-1,0,1,0,0.2449955940246582
UCT,RAVE,5,50,88,1,1,0,0,0.2040395736694336
UCT,RAVE,5,50,89,1,1,0,0,0.1719663143157959
UCT,RAVE,5,50,90,1,1,0,0,0.20603728294372559
UCT,RAVE,5,50,91,-1,0,1,0,0.2249605655670166
