agent1_type,agent2_type,board_size,iterations,seed,result,agent1_wins,agent2_wins,draws,time
RAVE,GRAVE,5,100,42,1,1,0,0,0.5370211601257324
RAVE,GRAVE,5,100,43,1,1,0,0,0.3429727554321289
RAVE,GRAVE,5,100,44,1,1,0,0,0.5780313014984131
RAVE,GRAVE,5,100,45,-1,0,1,0,0.504962682723999
RAVE,GRAVE,5,100,46,1,1,0,0,0.4550316333770752
RAVE,GRAVE,5,100,47,1,1,0,0,0.28400158882141113
RAVE,GRAVE,5,100,48,1,1,0,0,0.6249668598175049
RAVE,GRAVE,5,100,49,-1,0,1,0,0.5960347652435303
RAVE,GRAVE,5,100,50,1,1,0,0,0.5430006980895996
RAVE,GRAVE,5,100,51,-1,0,1,0,0.6719574928283691
RAVE,GRAVE,5,100,52,1,1,0,0,0.40001344680786133
RAVE,GRAVE,5,100,53,1,1,0,0,0.5660033226013184
RAVE,GRAVE,5,100,54,-1,0,1,0,0.5190315246582031
RAVE,GRAVE,5,100,55,1,1,0,0,0.2839643955230713
RAVE,GRAVE,5,100,56,1,1,0,0,0.46604013442993164
RAVE,GRAVE,5,100,57,1,1,0,0,0.26895976066589355
RAVE,GRAVE,5,100,58,1,1,0,0,0.3379802703857422
RAVE,GRAVE,5,100,59,-1,0,1,0,0.42003583908081055
RAVE,GRAVE,5,100,60,-1,0,1,0,0.30400538444519043
RAVE,GRAVE,5,100,61,-1,0,1,0,0.5230097770690918
RAVE,GRAVE,5,100,62,1,1,0,0,0.387988805770874
RAVE,GRAVE,5,100,63,-1,0,1,0,0.4250004291534424
RAVE,GRAVE,5,100,64,1,1,0,0,0.49604225158691406
RAVE,GRAVE,5,100,65,-1,0,1,0,0.30995750427246094
RAVE,GRAVE,5,100,66,1,1,0,0,0.3970005512237549
RAVE,GRAVE,5,100,67,-1,0,1,0,0.3979978561401367
RAVE,GRAVE,5,100,68,1,1,0,0,0.4140450954437256
RAVE,GRAVE,5,100,69,1,1,0,0,0.3059558868408203
RAVE,GRAVE,5,100,70,1,1,0,0,0.33803796768188477
RAVE,GRAVE,5,100,71,1,1,0,0,0.43096089363098145
RAVE,GRAVE,5,100,72,1,1,0,0,0.4370381832122803
RAVE,GRAVE,5,100,73,1,1,0,0,0.38697028160095215
RAVE,GRAVE,5,100,74,1,1,0,0,0.2950320243835449
RAVE,GRAVE,5,100,75,-1,0,1,0,0.3299591541290283
RAVE,GRAVE,5,100,76,-1,0,1,0,0.3070034980773926
RAVE,GRAVE,5,100,77,1,1,0,0,0.5559930801391602
RAVE,GRAVE,5,100,78,1,1,0,0,0.48599982261657715
RAVE,GRAVE,5,100,79,1,1,0,0,0.46103787422180176
RAVE,GRAVE,5,100,80,1,1,0,0,0.42496347427368164
RAVE,GRAVE,5,100,81,1,1,0,0,0.7550020217895508
RAVE,GRAVE,5,100,82,-1,0,1,0,0.4819977283477783
RAVE,GRAVE,5,100,83,1,1,0,0,0.5050387382507324
RAVE,GRAVE,5,100,84,1,1,0,0,0.5889613628387451
RAVE,GRAVE,5,100,85,-1,0,1,0,0.46000027656555176
RAVE,GRAVE,5,100,86,-1,0,1,0,0.4450078010559082
RAVE,GRAVE,5,100,87,-1,0,1,0,0.3530302047729492
RAVE,GRAVE,5,100,88,1,1,0,0,0.45799970626831055
RAVE,GRAVE,5,100,89,-1,0,1,0,0.3490025997161865
RAVE,GRAVE,5,100,90,-1,0,1,0,0.5049614906311035
RAVE,GRAVE,5,100,91,-1,0,1,0,0.8010077476501465
