agent1_type,agent2_type,board_size,iterations,seed,result,agent1_wins,agent2_wins,draws,time
UCT,RAVE,5,100,42,-1,0,1,0,0.4110221862792969
UCT,RAVE,5,100,43,1,1,0,0,0.546961784362793
UCT,RAVE,5,100,44,1,1,0,0,0.35103535652160645
UCT,RAVE,5,100,45,1,1,0,0,0.35199522972106934
UCT,RAVE,5,100,46,-1,0,1,0,0.43300580978393555
UCT,RAVE,5,100,47,1,1,0,0,0.443997859954834
UCT,RAVE,5,100,48,-1,0,1,0,0.3919708728790283
UCT,RAVE,5,100,49,-1,0,1,0,0.5670719146728516
UCT,RAVE,5,100,50,-1,0,1,0,0.4210226535797119
UCT,RAVE,5,100,51,1,1,0,0,0.41297316551208496
UCT,RAVE,5,100,52,1,1,0,0,0.6499927043914795
UCT,RAVE,5,100,53,1,1,0,0,0.385998010635376
UCT,RAVE,5,100,54,-1,0,1,0,0.4520375728607178
UCT,RAVE,5,100,55,1,1,0,0,0.3609740734100342
UCT,RAVE,5,100,56,1,1,0,0,0.40898561477661133
UCT,RAVE,5,100,57,1,1,0,0,0.53304123878479
UCT,RAVE,5,100,58,1,1,0,0,0.32996153831481934
UCT,RAVE,5,100,59,1,1,0,0,0.3870365619659424
UCT,RAVE,5,100,60,1,1,0,0,0.468961238861084
UCT,RAVE,5,100,61,1,1,0,0,0.5590031147003174
UCT,RAVE,5,100,62,1,1,0,0,0.4370412826538086
UCT,RAVE,5,100,63,-1,0,1,0,0.5439579486846924
UCT,RAVE,5,100,64,-1,0,1,0,0.3590364456176758
UCT,RAVE,5,100,65,-1,0,1,0,0.3169667720794678
UCT,RAVE,5,100,66,1,1,0,0,0.4190058708190918
UCT,RAVE,5,100,67,-1,0,1,0,0.4729890823364258
UCT,RAVE,5,100,68,1,1,0,0,0.5010366439819336
UCT,RAVE,5,100,69,1,1,0,0,0.5020120143890381
UCT,RAVE,5,100,70,-1,0,1,0,0.4859917163848877
UCT,RAVE,5,100,71,1,1,0,0,0.4209632873535156
UCT,RAVE,5,100,72,1,1,0,0,0.33803391456604004
UCT,RAVE,5,100,73,-1,0,1,0,0.39601731300354004
UCT,RAVE,5,100,74,1,1,0,0,0.5039443969726562
UCT,RAVE,5,100,75,1,1,0,0,0.43503785133361816
UCT,RAVE,5,100,76,-1,0,1,0,0.43599987030029297
UCT,RAVE,5,100,77,1,1,0,0,0.45797157287597656
UCT,RAVE,5,100,78,1,1,0,0,0.39699506759643555
UCT,RAVE,5,100,79,-1,0,1,0,0.31799793243408203
UCT,RAVE,5,100,80,-1,0,1,0,0.38899683952331543
UCT,RAVE,5,100,81,1,1,0,0,0.4450364112854004
UCT,RAVE,5,100,82,-1,0,1,0,0.5530140399932861
UCT,RAVE,5,100,83,-1,0,1,0,0.32296228408813477
UCT,RAVE,5,100,84,-1,0,1,0,0.3800389766693115
UCT,RAVE,5,100,85,-1,0,1,0,0.38796448707580566
UCT,RAVE,5,100,86,-1,0,1,0,0.4439976215362549
UCT,RAVE,5,100,87,-1,0,1,0,0.4900081157684326
UCT,RAVE,5,100,88,1,1,0,0,0.4760277271270752
UCT,RAVE,5,100,89,1,1,0,0,0.41396355628967285
UCT,RAVE,5,100,90,1,1,0,0,0.3870422840118408
UCT,RAVE,5,100,91,1,1,0,0,0.3509969711303711
