agent1_type,agent2_type,board_size,iterations,seed,result,agent1_wins,agent2_wins,draws,time
RAVE,GRAVE,5,50,42,1,1,0,0,0.2960326671600342
RAVE,GRAVE,5,50,43,-1,0,1,0,0.2160024642944336
RAVE,GRAVE,5,50,44,-1,0,1,0,0.23599767684936523
RAVE,GRAVE,5,50,45,-1,0,1,0,0.18695926666259766
RAVE,GRAVE,5,50,46,-1,0,1,0,0.28200411796569824
RAVE,GRAVE,5,50,47,1,1,0,0,0.21703577041625977
RAVE,GRAVE,5,50,48,1,1,0,0,0.12600421905517578
RAVE,GRAVE,5,50,49,1,1,0,0,0.2259969711303711
RAVE,GRAVE,5,50,50,1,1,0,0,0.24896240234375
RAVE,GRAVE,5,50,51,-1,0,1,0,0.27603721618652344
RAVE,GRAVE,5,50,52,-1,0,1,0,0.2200005054473877
RAVE,GRAVE,5,50,53,1,1,0,0,0.23399901390075684
RAVE,GRAVE,5,50,54,-1,0,1,0,0.23996639251708984
RAVE,GRAVE,5,50,55,1,1,0,0,0.2600371837615967
RAVE,GRAVE,5,50,56,-1,0,1,0,0.26599955558776855
RAVE,GRAVE,5,50,57,-1,0,1,0,0.20801305770874023
RAVE,GRAVE,5,50,58,1,1,0,0,0.2149503231048584
RAVE,GRAVE,5,50,59,-1,0,1,0,0.13803410530090332
RAVE,GRAVE,5,50,60,1,1,0,0,0.2539987564086914
RAVE,GRAVE,5,50,61,-1,0,1,0,0.28100037574768066
RAVE,GRAVE,5,50,62,1,1,0,0,0.29409241676330566
RAVE,GRAVE,5,50,63,-1,0,1,0,0.2599480152130127
RAVE,GRAVE,5,50,64,-1,0,1,0,0.20299792289733887
RAVE,GRAVE,5,50,65,-1,0,1,0,0.2609984874725342
RAVE,GRAVE,5,50,66,1,1,0,0,0.374967098236084
RAVE,GRAVE,5,50,67,1,1,0,0,0.22403359413146973
RAVE,GRAVE,5,50,68,1,1,0,0,0.3359668254852295
RAVE,GRAVE,5,50,69,1,1,0,0,0.2129971981048584
RAVE,GRAVE,5,50,70,-1,0,1,0,0.153001070022583
RAVE,GRAVE,5,50,71,-1,0,1,0,0.17200279235839844
RAVE,GRAVE,5,50,72,-1,0,1,0,0.2040386199951172
RAVE,GRAVE,5,50,73,1,1,0,0,0.17595839500427246
RAVE,GRAVE,5,50,74,1,1,0,0,0.18203330039978027
RAVE,GRAVE,5,50,75,1,1,0,0,0.1750030517578125
RAVE,GRAVE,5,50,76,1,1,0,0,0.21300220489501953
RAVE,GRAVE,5,50,77,-1,0,1,0,0.21997523307800293
RAVE,GRAVE,5,50,78,-1,0,1,0,0.21198749542236328
RAVE,GRAVE,5,50,79,1,1,0,0,0.3899991512298584
RAVE,GRAVE,5,50,80,1,1,0,0,0.16899514198303223
RAVE,GRAVE,5,50,81,-1,0,1,0,0.25504136085510254
RAVE,GRAVE,5,50,82,-1,0,1,0,0.22803759574890137
RAVE,GRAVE,5,50,83,1,1,0,0,0.23996758460998535
RAVE,GRAVE,5,50,84,-1,0,1,0,0.2440328598022461
RAVE,GRAVE,5,50,85,-1,0,1,0,0.2160024642944336
RAVE,GRAVE,5,50,86,1,1,0,0,0.2409648895263672
RAVE,GRAVE,5,50,87,-1,0,1,0,0.2639961242675781
RAVE,GRAVE,5,50,88,1,1,0,0,0.2460033893585205
RAVE,GRAVE,5,50,89,-1,0,1,0,0.21199703216552734
RAVE,GRAVE,5,50,90,-1,0,1,0,0.21803641319274902
RAVE,GRAVE,5,50,91,1,1,0,0,0.17596888542175293
