agent1_type,agent2_type,board_size,iterations,seed,result,agent1_wins,agent2_wins,draws,time
UCT,GRAVE,5,50,42,-1,0,1,0,0.21303319931030273
UCT,GRAVE,5,50,43,-1,0,1,0,0.23296236991882324
UCT,GRAVE,5,50,44,1,1,0,0,0.22603821754455566
UCT,GRAVE,5,50,45,1,1,0,0,0.2209630012512207
UCT,GRAVE,5,50,46,1,1,0,0,0.21403264999389648
UCT,GRAVE,5,50,47,-1,0,1,0,0.20099997520446777
UCT,GRAVE,5,50,48,1,1,0,0,0.17196917533874512
UCT,GRAVE,5,50,49,-1,0,1,0,0.13903188705444336
UCT,GRAVE,5,50,50,1,1,0,0,0.22600340843200684
UCT,GRAVE,5,50,51,-1,0,1,0,0.3829977512359619
UCT,GRAVE,5,50,52,-1,0,1,0,0.2870039939880371
UCT,GRAVE,5,50,53,-1,0,1,0,0.20203065872192383
UCT,GRAVE,5,50,54,-1,0,1,0,0.23400020599365234
UCT,GRAVE,5,50,55,-1,0,1,0,0.18200159072875977
UCT,GRAVE,5,50,56,-1,0,1,0,0.1379992961883545
UCT,GRAVE,5,50,57,-1,0,1,0,0.24601149559020996
UCT,GRAVE,5,50,58,-1,0,1,0,0.1719510555267334
UCT,GRAVE,5,50,59,1,1,0,0,0.2030012607574463
UCT,GRAVE,5,50,60,1,1,0,0,0.34999871253967285
UCT,GRAVE,5,50,61,-1,0,1,0,0.3450336456298828
UCT,GRAVE,5,50,62,1,1,0,0,0.2720038890838623
UCT,GRAVE,5,50,63,-1,0,1,0,0.25200438499450684
UCT,GRAVE,5,50,64,-1,0,1,0,0.21295714378356934
UCT,GRAVE,5,50,65,-1,0,1,0,0.3090023994445801
UCT,GRAVE,5,50,66,-1,0,1,0,0.339033842086792
UCT,GRAVE,5,50,67,1,1,0,0,0.391965389251709
UCT,GRAVE,5,50,68,-1,0,1,0,0.2720377445220947
UCT,GRAVE,5,50,69,1,1,0,0,0.1999976634979248
UCT,GRAVE,5,50,70,-1,0,1,0,0.24196672439575195
UCT,GRAVE,5,50,71,-1,0,1,0,0.22303342819213867
UCT,GRAVE,5,50,72,-1,0,1,0,0.2199997901916504
UCT,GRAVE,5,50,73,1,1,0,0,0.21100521087646484
UCT,GRAVE,5,50,74,-1,0,1,0,0.15099143981933594
UCT,GRAVE,5,50,75,-1,0,1,0,0.20400619506835938
UCT,GRAVE,5,50,76,1,1,0,0,0.22497034072875977
UCT,GRAVE,5,50,77,1,1,0,0,0.2869892120361328
UCT,GRAVE,5,50,78,-1,0,1,0,0.23404145240783691
UCT,GRAVE,5,50,79,-1,0,1,0,0.20895910263061523
UCT,GRAVE,5,50,80,-1,0,1,0,0.19300270080566406
UCT,GRAVE,5,50,81,1,1,0,0,0.2010328769683838
UCT,GRAVE,5,50,82,-1,0,1,0,0.14599967002868652
UCT,GRAVE,5,50,83,-1,0,1,0,0.23800063133239746
UCT,GRAVE,5,50,84,-1,0,1,0,0.17699956893920898
UCT,GRAVE,5,50,85,-1,0,1,0,0.1710047721862793
UCT,GRAVE,5,50,86,-1,0,1,0,0.19795656204223633
UCT,GRAVE,5,50,87,-1,0,1,0,0.2340400218963623
UCT,GRAVE,5,50,88,1,1,0,0,0.2069993019104004
UCT,GRAVE,5,50,89,1,1,0,0,0.16596269607543945
UCT,GRAVE,5,50,90,1,1,0,0,0.20200562477111816
UCT,GRAVE,5,50,91,-1,0,1,0,0.21203112602233887
